"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
6,1108109,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),29.534,24.735,27.122,23.897,25.797,22.689,20.1
7,1112109,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (MATHEMATICS),37.014,32.633,33.072,32.938,33.736,31.427,31.045
8,1117109,PWANI UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),31.409,31.577,31.078,28.235,30.074,23.612,23.895
9,1165109,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),33.103,25.194,28.919,26.072,27.752,23.211,20.1
10,1166109,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),31.164,26.026,27.026,23.447,24.115,20.048,20.1
11,1170109,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (MATHEMATICS),31.041,26.388,31.223,26.899,28.818,26.81,20.1
12,1263109,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (MATHEMATICS),40.922,37.296,34.954,35.355,36.659,34.562,33.862
13,1480109,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE (MATHEMATICS),28.99,25.702,25.502,24.178,24.903,20.048,20.1
14,1105109,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN MATHEMATICS,-,-,-,27.851,30.614,24.008,24.917
15,1181109,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN MATHEMATICS,28.602,26.012,25.125,24.251,23.64,20.048,20.1
16,1240109,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN MATHEMATICS,-,-,-,-,24.274,20.048,20.1
17,1460109,KIRIRI WOMENS UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE IN MATHEMATICS,30.03,25.263,-,23.571,23.811,20.048,20.1
BACHELOR OF SCIENCE (METEOROLOGY),,,,,,,,,,
1,1166110,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (METEOROLOGY),23,24.584,-,26.353,28.482,17.674,17.802
2,1263110,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (METEOROLOGY),31.016,27.758,26.785,24.321,25.446,17.674,17.802
BACHELOR OF SCIENCE (BIOLOGY),,,,,,,,,,
1,1082111,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (BIOLOGY),30.201,24.144,-,24.396,24.99,16.791,17.459
2,1093111,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (BIOLOGY),23,21.976,-,27.942,27.798,16.791,17.459
3,1108111,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),23,22.093,-,-,24.749,16.791,17.459
4,1111111,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),36.199,28.97,-,24.713,24.98,25.596,17.459
5,1117111,PWANI UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),29.432,25.674,-,-,27.347,-,-
6,1166111,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (BIOLOGY),28.548,22.622,-,26.086,27.461,-,-
7,1263111,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (BIOLOGY),36.747,27.622,28.316,24.928,24.776,25.342,17.459
8,1470111,KAIMOSI FRIENDS UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (BIOLOGY),-,-,-,-,-,-,17.459
9,1105111,CHUKA UNIVERSITY,BACHELOR OF SCIENCE IN BIOLOGY,-,-,-,24.668,24.763,16.791,17.459
10,1170111,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE IN BIOLOGY,28.237,23.439,-,24.335,26.854,16.791,17.459
11,1181111,"UNIVERSITY OF EASTERN AFRICA, BARATON",BACHELOR OF SCIENCE IN BIOLOGY,27.187,31.376,-,25.744,25.679,16.791,17.459
12,1249111,JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,BACHELOR OF SCIENCE IN BIOLOGY,28.357,30.498,-,-,-,-,-
13,1480111,CATHOLIC UNIVERSITY OF EAST AFRICA,BACHELOR OF SCIENCE IN BIOLOGY,27.04,22.169,-,26.633,24.803,16.791,17.459
14,1087111,KISII UNIVERSITY,BACHELOR OF SCIENCE IN BIOLOGY ( BOTANY OR ZOOLOGY OPTION),28.656,-,-,-,24.317,-,-
15,1053111,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE(BIOLOGICAL SCIENCES),23,23.258,-,27.735,26.2,16.791,17.459
BACHELOR OF SCIENCE (BIOCHEMISTRY),,,,,,,,,,
1,1176112,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),-,-,-,27.062,26.125,16.791,17.459
2,1685112,THARAKA UNIVERSITY COLLEGE,BACHELOR OF SCIENCE (BIOCHEMISTRY),-,-,-,-,-,16.791,-
3,1057112,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),39.993,35.692,27.777,29.992,31.041,31.315,26.362
4,1073112,RONGO UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),32.879,27.858,-,25.049,25.831,16.791,17.459
5,1082112,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (BIOCHEMISTRY),36.466,33.037,-,26.464,26.253,25.573,26.117
6,1087112,KISII UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),34.98,30.465,-,25.368,24.816,-,17.459
7,1093112,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (BIOCHEMISTRY),-,24.662,-,25.336,25.055,16.791,17.459
8,1105112,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),34.182,32.348,26.75,26.26,24.633,24.828,17.459
9,1111112,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),42.284,38.171,26.954,33.9,36.331,34.012,33.576
10,1112112,TECHNICAL UNIVERSITY OF KENYA,BACHELOR OF SCIENCE (BIOCHEMISTRY),39.959,35.457,27.865,30.986,33.682,29.939,32.888
11,1117112,PWANI UNIVERSITY,BACHELOR OF SCIENCE (BIOCHEMISTRY),35.164,30.448,-,26.013,27.697,26.872,17.459
12,1118112,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (BIOCHEMISTRY),31.89,30.19,-,27.905,27.201,16.791,17.459
